,States,Population
0,California,39536653
1,Texas,28304596
2,Florida,20984400
3,New York,19849399
4,Pennsylvania,12805537
5,Illinois,12802023
6,Ohio,11658609
7,Georgia,10429379
8,North Carolina,10273419
9,Michigan,9962311
10,New Jersey,9005644
11,Virginia,8470020
12,Washington,7405743
13,Arizona,7016270
14,Massachusetts,6859819
15,Tennessee,6715984
16,Indiana,6666818
17,Missouri,6113532
18,Maryland,6052177
19,Wisconsin,5795483
20,Colorado,5607154
21,Minnesota,5576606
22,South Carolina,5024369
23,Alabama,4874747
24,Louisiana,4684333
25,Kentucky,4454189
26,Oregon,4142776
27,Oklahoma,3930864
28,Connecticut,3588184
29,Puerto Rico,3337177
30,Iowa,3145711
31,Utah,3101833
32,Arkansas,3004279
33,Nevada,2998039
34,Mississippi,2984100
35,Kansas,2913123
36,New Mexico,2088070
37,Nebraska,1920076
38,West Virginia,1815857
39,Idaho,1716943
40,Hawaii,1427538
41,New Hampshire,1342795
42,Maine,1335907
43,Rhode Island,1059639
44,Montana,1050493
45,Delaware,961939
46,South Dakota,869666
47,North Dakota,755393
48,Alaska,739795
49,District of Columbia,693972
50,Vermont,623657
51,Wyoming,579315
